n,wr,roi,pnl,min_edge,max_edge,min_fair,n_2023,wr_2023,roi_2023,n_2024,wr_2024,roi_2024,n_2025,wr_2025,roi_2025
279,0.5161290322580645,0.0014950111814937056,0.4171081196367439,0.06,0.1,0.45,81,0.4444444444444444,-0.13623347595095042,91,0.5054945054945055,-0.01648322596792746,107,0.5794392523364486,0.12104666574528157
770,0.487012987012987,0.0008139336223571074,0.6267288892149727,0.06,0.25,0.4,223,0.4618834080717489,-0.03503968019029014,233,0.48497854077253216,0.004222788445473506,314,0.5063694267515924,0.023747349884886446
1028,0.4892996108949416,0.0003781896825047449,0.3887789936148778,0.04,0.15,0.35,337,0.47181008902077154,-0.003385038191372318,335,0.47761194029850745,-0.024310583333707187,356,0.5168539325842697,0.02717298393511029
982,0.47046843177189407,-0.002508422719740356,-2.46327111078503,0.06,0.25,0.35,316,0.4588607594936709,-0.0007400274760591994,301,0.44518272425249167,-0.053674718578753056,365,0.5013698630136987,0.03815525442151876
403,0.511166253101737,-0.004116206786289467,-1.6588313348746553,0.06,0.15,0.45,105,0.44761904761904764,-0.12437158809201519,126,0.5,-0.013738811842894192,172,0.5581395348837209,0.07634462620343953
933,0.4941050375133976,-0.004733355848215563,-4.41622100638512,0.04,0.15,0.4,276,0.4746376811594203,-0.024278108226422006,315,0.48253968253968255,-0.02271125529140287,342,0.52046783625731,0.02759819380379901
894,0.48769574944071586,-0.005269717906656929,-4.711127808551295,0.05,0.25,0.4,260,0.4807692307692308,-0.004538744607074511,277,0.47653429602888087,-0.020197554337492752,357,0.5014005602240896,0.005780583587601064
397,0.49622166246851385,-0.005926256456262897,-2.35272381313637,0.06,0.1,0.4,136,0.4411764705882353,-0.09904223150588305,124,0.46774193548387094,-0.06802398034743064,137,0.5766423357664233,0.14271527908573084
397,0.49622166246851385,-0.005926256456262897,-2.35272381313637,0.06,0.1,0.35,136,0.4411764705882353,-0.09904223150588305,124,0.46774193548387094,-0.06802398034743064,137,0.5766423357664233,0.14271527908573084
1106,0.472875226039783,-0.00705346094805723,-7.801127808551296,0.05,0.25,0.35,353,0.4730878186968839,0.018130103122268065,345,0.4434782608695652,-0.06589774652604491,408,0.49754901960784315,0.020915853776405823
221,0.5475113122171946,-0.009508546563138773,-2.1013887904536688,0.03,0.07,0.5,38,0.5,-0.11992494413595557,79,0.5316455696202531,-0.021006076467348863,104,0.5769230769230769,0.03956960699647312
1166,0.4888507718696398,-0.011340590975967202,-13.223129077977758,0.03,0.15,0.35,375,0.472,-0.01419173107096878,384,0.4713541666666667,-0.04575688632639288,407,0.5208845208845209,0.023757774995013307
392,0.5102040816326531,-0.011685583107473259,-4.580748578129517,0.05,0.1,0.45,110,0.4818181818181818,-0.06419214970392413,132,0.49242424242424243,-0.03847428653304711,150,0.5466666666666666,0.05039329141109572
1283,0.49259547934528447,-0.012574379839723999,-16.13292933436589,0.02,0.15,0.35,411,0.4744525547445255,-0.021005515814101126,431,0.4872389791183295,-0.02434190354979109,441,0.5147392290249433,0.006783895907459502
228,0.5087719298245614,-0.012700547896557975,-2.8957249204152182,0.05,0.07,0.35,72,0.5416666666666666,0.07577137569382973,83,0.46987951807228917,-0.07818642780343868,73,0.5205479452054794,-0.025503978940897933
228,0.5087719298245614,-0.012700547896557975,-2.8957249204152182,0.05,0.07,0.4,72,0.5416666666666666,0.07577137569382973,83,0.46987951807228917,-0.07818642780343868,73,0.5205479452054794,-0.025503978940897933
516,0.5077519379844961,-0.012900558202792478,-6.656688032640919,0.05,0.15,0.45,134,0.47761194029850745,-0.06780031093333035,167,0.49101796407185627,-0.03179474581727836,215,0.5395348837209303,0.03599198225074807
