date,matchup,pick,tier,pick_prob,bucket,pick_team_xwoba,opp_xwoba,gap_pickside,won_scoreboard,home_score,away_score
2026-05-15,TOR @ DET,TOR,GOLD,0.5223,null_zone,0.2346,0.2477,-0.0131,False,2,2
2026-05-15,CIN @ CLE,CLE,GOLD,0.642,null_zone,0.3488,0.329,0.0198,False,6,7
2026-05-15,MIA @ TB,TB,SKIP,0.5682,win,0.2426,0.2451,-0.0025,True,7,2
2026-05-15,BOS @ ATL,ATL,PLATINUM,0.6653,null_zone,0.2709,0.2689,0.002,False,2,2
2026-05-15,NYY @ NYM,NYY,GOLD,0.5253,win,0.3185,0.2902,0.0283,True,2,5
2026-05-15,CHC @ CHW,CHW,SKIP,0.5181,null_zone,0.4038,0.4101,-0.0063,False,5,10
2026-05-15,TEX @ HOU,HOU,GOLD,0.5517,win,0.351,0.2543,0.0967,True,2,0
2026-05-15,KC @ STL,STL,SKIP,0.6452,bad_beat,0.3745,0.2921,0.0824,False,4,4
2026-05-15,LAD @ LAA,LAD,GOLD,0.8133,win,0.406,0.2581,0.1479,True,0,6
2026-05-15,SD @ SEA,SEA,GOLD,0.5318,null_zone,0.3332,0.3366,-0.0034,False,0,2
2026-05-15,SF @ OAK,OAK,PLATINUM,0.6353,win,0.223,0.342,-0.119,True,5,2
2026-05-16,TOR @ DET,TOR,GOLD,0.5223,win,0.1882,0.1891,-0.0009,True,1,2
2026-05-16,KC @ STL,STL,GOLD,0.5338,win,0.231,0.4145,-0.1835,True,4,2
2026-05-16,BAL @ WSH,WSH,GOLD,0.5633,win,0.408,0.3268,0.0812,True,13,3
2026-05-16,PHI @ PIT,PHI,PLATINUM,0.5358,win,0.322,0.2545,0.0675,True,0,6
2026-05-16,MIA @ TB,TB,SKIP,0.519,bad_read,0.3042,0.3375,-0.0333,False,5,10
2026-05-16,CIN @ CLE,CLE,GOLD,0.5224,win,0.3377,0.2855,0.0522,True,7,4
2026-05-16,TEX @ HOU,HOU,PLATINUM,0.5047,win,0.315,0.354,-0.039,True,4,1
2026-05-16,CHC @ CHW,CHW,SKIP,0.5098,win,0.4406,0.253,0.1876,True,8,3
2026-05-16,MIL @ MIN,MIN,GOLD,0.5447,null_zone,0.2618,0.2791,-0.0173,False,1,2
2026-05-16,SD @ SEA,SD,SKIP,0.5054,win,0.3385,0.3254,0.0131,True,4,7
2026-05-16,BOS @ ATL,ATL,PLATINUM,0.5862,bad_beat,0.3443,0.2846,0.0597,False,2,3
2026-05-16,LAD @ LAA,LAD,SKIP,0.5313,win,0.4018,0.29,0.1118,True,2,15
2026-05-16,SF @ OAK,OAK,PLATINUM,0.6252,bad_beat,0.3417,0.3012,0.0405,False,4,6
2026-05-17,MIA @ TB,TB,GOLD,0.5895,win,0.3218,0.4039,-0.0821,True,6,3
2026-05-17,BAL @ WSH,WSH,GOLD,0.5321,bad_read,0.3218,0.3972,-0.0754,False,3,7
2026-05-17,PHI @ PIT,PHI,GOLD,0.5078,win,0.3152,0.2644,0.0508,True,0,6
2026-05-17,BOS @ ATL,ATL,PLATINUM,0.6713,win,0.4013,0.2129,0.1884,True,8,1
2026-05-17,CIN @ CLE,CLE,GOLD,0.5731,win,0.4759,0.326,0.1499,True,10,3
2026-05-17,TOR @ DET,TOR,PLATINUM,0.5163,win,0.2862,0.254,0.0322,True,1,4
2026-05-17,NYY @ NYM,NYY,GOLD,0.6091,bad_beat,0.3805,0.3545,0.026,False,6,6
2026-05-17,TEX @ HOU,HOU,GOLD,0.6443,bad_read,0.2286,0.2794,-0.0508,False,0,8
2026-05-17,CHC @ CHW,CHW,GOLD,0.5395,bad_read,0.3191,0.4068,-0.0877,False,7,8
2026-05-17,KC @ STL,KC,GOLD,0.5095,win,0.2383,0.3274,-0.0891,True,0,2
2026-05-17,SF @ OAK,OAK,DIAMOND,0.6563,bad_beat,0.3739,0.2982,0.0757,False,1,10
2026-05-18,CLE @ DET,DET,GOLD,0.5001,bad_read,0.3035,0.3725,-0.069,False,2,8
2026-05-18,BAL @ TB,TB,GOLD,0.5144,win,0.4145,0.3328,0.0817,True,16,6
2026-05-18,CIN @ PHI,PHI,SKIP,0.5914,win,0.3556,0.276,0.0796,True,5,4
2026-05-18,ATL @ MIA,MIA,SKIP,0.5445,win,0.3772,0.2349,0.1423,True,12,0
2026-05-18,NYM @ WSH,WSH,GOLD,0.516,null_zone,0.3225,0.3469,-0.0244,False,7,16
2026-05-18,TOR @ NYY,NYY,PLATINUM,0.5438,win,0.4772,0.2811,0.1961,True,7,6
2026-05-18,BOS @ KC,KC,GOLD,0.5177,bad_read,0.1862,0.3296,-0.1434,False,1,3
2026-05-18,HOU @ MIN,HOU,SKIP,0.5379,bad_read,0.2865,0.3375,-0.051,False,6,3
2026-05-18,MIL @ CHC,CHC,DIAMOND,0.5955,bad_read,0.2971,0.3743,-0.0772,False,3,9
2026-05-18,TEX @ COL,COL,SKIP,0.6185,win,0.2729,0.3335,-0.0606,True,7,6
2026-05-18,OAK @ LAA,OAK,SKIP,0.5311,win,0.2916,0.253,0.0386,True,0,1
2026-05-18,LAD @ SD,LAD,GOLD,0.5481,bad_beat,0.2985,0.2384,0.0601,False,1,0
2026-05-18,CHW @ SEA,CHW,SKIP,0.5214,bad_read,0.2538,0.3265,-0.0727,False,6,1
2026-05-19,CLE @ DET,CLE,GOLD,0.5493,win,0.2083,0.3039,-0.0956,True,3,4
2026-05-19,BAL @ TB,TB,SKIP,0.6413,win,0.3892,0.2367,0.1525,True,4,1
2026-05-19,CIN @ PHI,PHI,SKIP,0.6571,bad_read,0.1991,0.2801,-0.081,False,1,4
2026-05-19,NYM @ WSH,WSH,SKIP,0.5274,win,0.3115,0.2943,0.0172,True,9,6
2026-05-19,TOR @ NYY,NYY,PLATINUM,0.7215,win,0.3155,0.2783,0.0372,True,5,4
2026-05-19,MIL @ CHC,CHC,PLATINUM,0.5078,bad_read,0.1789,0.3294,-0.1505,False,2,5
2026-05-19,PIT @ STL,STL,SKIP,0.5619,bad_beat,0.4175,0.3601,0.0574,False,6,6
2026-05-19,OAK @ LAA,OAK,SKIP,0.5259,win,0.3655,0.3615,0.004,True,6,14
2026-05-19,LAD @ SD,LAD,GOLD,0.5343,win,0.2686,0.2908,-0.0222,True,4,5
2026-05-20,CIN @ PHI,PHI,SKIP,0.5026,bad_read,0.2888,0.374,-0.0852,False,4,9
